id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
282,Neptune-like,2014,5.4 Earths,2.18 x Earth,0.163 AU,35.7 days,0.18,
283,Gas Giant,2006,0.9 Jupiters,1.24 x Jupiter,2.409 AU,5.2 years,0.04,
284,Gas Giant,2014,0.702 Jupiters,1.25 x Jupiter,4.974 AU,19.4 years,0.1,
285,Gas Giant,1999,4.42 Jupiters,1.15 x Jupiter,0.11 AU,15.8 days,0.04,
286,Gas Giant,1998,2.2756 Jupiters,1.19 x Jupiter,0.208317 AU,61.1 days,0.03,
287,Gas Giant,2000,0.7142 Jupiters,1.25 x Jupiter,0.12959 AU,30.1 days,0.26,
288,Neptune-like,2005,6.83 Earths,0.224 x Jupiter,0.020807 AU,1.9 days,0.21,
289,Neptune-like,2010,14.6 Earths,0.35 x Jupiter,0.3343 AU,124.3 days,0.06,
290,Super Earth,2020,4.2 Earths,1.88 x Earth,0.068 AU,9.3 days,0.0,
291,Neptune-like,2020,7.6 Earths,0.238 x Jupiter,0.12 AU,21.8 days,0.0,
292,Neptune-like,2020,30.9 Earths,0.544 x Jupiter,0.403 AU,241.9 days,0.18,
293,Gas Giant,2020,0.22528 Jupiters,0.892 x Jupiter,0.87 AU,2.1 years,0.33,
294,Neptune-like,2020,9.65 Earths,0.274 x Jupiter,0.1139 AU,18.3 days,0.29,
295,Neptune-like,2018,19.66 Earths,0.417 x Jupiter,0.291 AU,73.9 days,0.44,
296,Super Earth,2017,4.91 Earths,1.577 x Earth,0.0188 AU,1.2 days,0.0,
297,Super Earth,2017,0.84 Earths,1.241 x Earth,0.03925 AU,3.6 days,0.0,
298,Neptune-like,2017,4.04 Earths,2.022 x Earth,0.05591 AU,6.2 days,0.0,
299,Neptune-like,2019,13.02 Earths,0.327 x Jupiter,0.039435 AU,3.8 days,0.11,
300,Neptune-like,2019,5.63 Earths,0.2 x Jupiter,0.0905 AU,13.9 days,0.36,
301,Neptune-like,2018,6.624 Earths,0.22 x Jupiter,0.091 AU,15.5 days,0.05,
302,Gas Giant,2021,19.7 Jupiters,1.47 x Jupiter,0.0338 AU,1.7 days,0.0,
303,Gas Giant,2004,20 Jupiters,3.0 x Jupiter,100.0 AU,1195.9 years,0.0,
304,Gas Giant,2010,16 Jupiters,1.8 x Jupiter,320.0 AU,6037.4 years,0.0,
305,Gas Giant,2014,11.3 Jupiters,1.265 x Jupiter,2000.0 AU,155788.8 years,0.0,
306,Neptune-like,2008,26.69772 Earths,0.389 x Jupiter,0.05254 AU,4.9 days,0.22,
307,Gas Giant,2018,2.3 Jupiters,1.19 x Jupiter,4.13 AU,9.3 years,0.6,
308,Gas Giant,2009,0.211 Jupiters,0.959 x Jupiter,0.0384 AU,3.2 days,0.0,
309,Gas Giant,2009,0.851 Jupiters,1.272 x Jupiter,0.04383 AU,2.9 days,0.01,
310,Gas Giant,2009,14.28 Jupiters,1.1 x Jupiter,1.258 AU,446.3 days,0.66,
311,Gas Giant,2010,3.44 Jupiters,1.42 x Jupiter,0.0596 AU,4.6 days,0.11,
312,Gas Giant,2010,1.94 Jupiters,1.06 x Jupiter,0.0965 AU,10.9 days,0.19,
313,Gas Giant,2010,4.193 Jupiters,1.289 x Jupiter,0.0413 AU,2.8 days,0.04,
314,Gas Giant,2010,0.58 Jupiters,1.05 x Jupiter,0.0882 AU,10.3 days,0.35,
315,Gas Giant,2010,3.4 Jupiters,1.17 x Jupiter,5.6 AU,15.3 years,0.39,
316,Gas Giant,2010,0.197 Jupiters,0.995 x Jupiter,0.0559 AU,5.5 days,0.08,
317,Gas Giant,2010,0.292 Jupiters,1.132 x Jupiter,0.0466 AU,4 days,0.07,
318,Gas Giant,2006,0.525 Jupiters,1.319 x Jupiter,0.05561 AU,4.5 days,0.0,
319,Gas Giant,2010,7.246 Jupiters,0.867 x Jupiter,0.0361 AU,2.9 days,0.02,
320,Gas Giant,2010,4.87 Jupiters,1.11 x Jupiter,0.0494 AU,4.1 days,0.23,
321,Gas Giant,2010,2.47 Jupiters,1.15 x Jupiter,0.0414 AU,3.2 days,0.02,
322,Gas Giant,2010,1.34 Jupiters,1.09 x Jupiter,0.0232 AU,1.2 days,0.11,
323,Gas Giant,2010,0.75 Jupiters,1.3 x Jupiter,0.04651 AU,3.4 days,0.07,
324,Gas Giant,2010,0.569 Jupiters,1.135 x Jupiter,0.0466 AU,3.7 days,0.02,
325,Neptune-like,2010,22.2481 Earths,0.63 x Jupiter,0.0479 AU,4.2 days,0.12,
326,Gas Giant,2011,0.62 Jupiters,1.02 x Jupiter,0.04 AU,3 days,0.0,
327,Gas Giant,2011,0.626 Jupiters,1.212 x Jupiter,0.0434 AU,3.3 days,0.05,
328,Gas Giant,2011,0.88 Jupiters,1.17 x Jupiter,0.0667 AU,5.7 days,0.09,
329,Gas Giant,2007,8.7 Jupiters,0.951 x Jupiter,0.06814 AU,5.6 days,0.52,
330,Gas Giant,2011,0.83 Jupiters,1.44 x Jupiter,0.0419 AU,2.8 days,0.04,
331,Gas Giant,2011,2.27 Jupiters,1.09 x Jupiter,0.061 AU,5 days,0.25,
332,Gas Giant,2011,0.68 Jupiters,1.98 x Jupiter,0.03397 AU,2.2 days,0.16,
333,Gas Giant,2011,0.92 Jupiters,1.85 x Jupiter,0.04995 AU,3.5 days,0.0,
334,Gas Giant,2011,3.33 Jupiters,1.197 x Jupiter,0.06774 AU,5.5 days,0.43,
335,Gas Giant,2011,1.056 Jupiters,1.332 x Jupiter,0.04978 AU,3.6 days,< 0.02,
336,Gas Giant,2011,1.8482 Jupiters,1.277 x Jupiter,0.0241 AU,1.3 days,0.06,
337,Gas Giant,2011,1.169 Jupiters,1.178 x Jupiter,0.0379 AU,2.8 days,0.06,
338,Gas Giant,2012,0.267 Jupiters,0.825 x Jupiter,0.0523 AU,4.6 days,0.07,
339,Gas Giant,2012,0.599 Jupiters,1.571 x Jupiter,0.0509 AU,3.5 days,0.0,
340,Gas Giant,2007,0.65 Jupiters,0.94 x Jupiter,0.03866 AU,2.9 days,0.0,
341,Gas Giant,2012,0.48 Jupiters,1.52 x Jupiter,0.0608 AU,4.5 days,0.0,
342,Gas Giant,2012,1.19 Jupiters,2.05 x Jupiter,0.04258 AU,2.7 days,0.0,
343,Gas Giant,2012,1.044 Jupiters,1.28 x Jupiter,0.0575 AU,4.6 days,0.0,
344,Gas Giant,2012,0.662 Jupiters,1.216 x Jupiter,0.0444 AU,3.3 days,< 0.21,
345,Gas Giant,2014,0.352 Jupiters,1.242 x Jupiter,0.0507 AU,4.3 days,0.04,
346,Gas Giant,2014,4 Jupiters,1.16 x Jupiter,1.752 AU,2.4 years,0.49,
347,Gas Giant,2014,0.892 Jupiters,1.426 x Jupiter,0.0452 AU,3.1 days,0.05,
348,Gas Giant,2014,0.493 Jupiters,1.284 x Jupiter,0.0577 AU,4.5 days,0.12,
349,Gas Giant,2014,2.2 Jupiters,1.59 x Jupiter,0.04378 AU,2.7 days,0.0,
350,Gas Giant,2007,0.671 Jupiters,1.274 x Jupiter,0.04438 AU,3.1 days,0.0,
351,Gas Giant,2015,1.35 Jupiters,1.288 x Jupiter,0.0453 AU,3.1 days,< 0.115,
352,Gas Giant,2015,0.309 Jupiters,1.293 x Jupiter,0.05069 AU,4.2 days,< 0.123,
353,Gas Giant,2015,0.818 Jupiters,1.009 x Jupiter,0.03694 AU,2.8 days,< 0.047,
354,Gas Giant,2015,1.484 Jupiters,1.318 x Jupiter,0.03159 AU,2 days,< 0.134,
355,Gas Giant,2015,0.76 Jupiters,0.944 x Jupiter,0.04117 AU,3.8 days,< 0.074,
356,Gas Giant,2015,0.582 Jupiters,1.182 x Jupiter,0.04604 AU,3.6 days,< 0.139,
357,Gas Giant,2015,2.31 Jupiters,1.51 x Jupiter,0.0423 AU,2.8 days,< 0.29,
358,Gas Giant,2015,1.41 Jupiters,1.74 x Jupiter,0.0406 AU,2.5 days,0.0,
359,Gas Giant,2021,0.372 Jupiters,1.332 x Jupiter,0.04994 AU,4 days,< 0.073,
360,Gas Giant,2021,1.54 Jupiters,1.123 x Jupiter,0.05064 AU,4.1 days,< 0.03,
361,Gas Giant,2007,0.98 Jupiters,1.21 x Jupiter,0.04073 AU,2.8 days,0.0,
362,Gas Giant,2021,0.574 Jupiters,1.631 x Jupiter,0.06277 AU,4.8 days,< 0.25,
363,Gas Giant,2021,1.057 Jupiters,0.899 x Jupiter,0.0301 AU,1.9 days,< 0.113,
364,Gas Giant,2021,0.761 Jupiters,1.073 x Jupiter,0.03772 AU,2.6 days,< 0.101,
365,Gas Giant,2021,0.614 Jupiters,1.119 x Jupiter,0.04294 AU,3.4 days,< 0.069,
366,Gas Giant,2021,0.58 Jupiters,1.703 x Jupiter,0.05387 AU,4 days,< 0.101,
367,Gas Giant,2016,0.527 Jupiters,1.89 x Jupiter,0.03951 AU,2.6 days,< 0.304,
368,Gas Giant,2016,0.783 Jupiters,1.59 x Jupiter,0.04363 AU,3 days,< 0.09,
369,Gas Giant,2017,0.34 Jupiters,2.085 x Jupiter,0.06505 AU,4.8 days,0.0,
370,Gas Giant,2020,0.724 Jupiters,1.072 x Jupiter,0.02996 AU,2.3 days,< 0.041,
371,Gas Giant,2019,3.58 Jupiters,1.676 x Jupiter,0.06555 AU,4.8 days,0.0,
372,Gas Giant,2007,1.32 Jupiters,1.48 x Jupiter,0.05239 AU,3.9 days,0.0,
373,Gas Giant,2019,6.78 Jupiters,1.87 x Jupiter,0.04739 AU,2.7 days,0.0,
374,Gas Giant,2008,1.84 Jupiters,1.51 x Jupiter,0.03676 AU,2.2 days,0.0,
375,Gas Giant,2008,1.28 Jupiters,1.4 x Jupiter,0.04496 AU,3.1 days,0.0,
376,Gas Giant,2008,0.749 Jupiters,1.393 x Jupiter,0.05287 AU,3.9 days,0.08,
377,Gas Giant,2015,0.526 Jupiters,0.969 x Jupiter,0.04491 AU,3.3 days,< 0.501,
378,Gas Giant,2016,0.83 Jupiters,1.609 x Jupiter,0.0507 AU,3.6 days,< 0.34,
379,Gas Giant,2016,2.39 Jupiters,0.692 x Jupiter,0.0441 AU,3.1 days,< 0.085,
380,Gas Giant,2015,0.543 Jupiters,1.212 x Jupiter,0.04057 AU,3 days,< 0.181,
381,Gas Giant,2015,1.071 Jupiters,1.039 x Jupiter,0.03815 AU,2.8 days,< 0.142,
382,Gas Giant,2016,2.17 Jupiters,1.105 x Jupiter,0.02712 AU,1.7 days,< 0.126,
383,Gas Giant,2016,3.27 Jupiters,1.3 x Jupiter,0.03744 AU,2.7 days,0.0,
384,Gas Giant,2016,1.338 Jupiters,0.777 x Jupiter,0.1308 AU,16.3 days,0.03,
385,Gas Giant,2016,1.9795 Jupiters,1.329 x Jupiter,0.0174 AU,0.8 days,0.17,
386,Gas Giant,2012,1.855 Jupiters,1.302 x Jupiter,0.0444 AU,3.4 days,0.12,
387,Gas Giant,2017,2.74 Jupiters,0.953 x Jupiter,0.05025 AU,4.7 days,0.08,
388,Gas Giant,2017,1.47 Jupiters,1.86 x Jupiter,0.03397 AU,2.2 days,< 0.114,
389,Gas Giant,2017,2.26 Jupiters,1.395 x Jupiter,0.0238 AU,1.3 days,0.0,
390,Gas Giant,2016,0.613 Jupiters,1.26 x Jupiter,0.05163 AU,4.3 days,< 0.176,
391,Gas Giant,2016,0.65 Jupiters,1.75 x Jupiter,0.04735 AU,3.3 days,< 0.245,
392,Gas Giant,2016,0.53 Jupiters,1.5 x Jupiter,0.0611 AU,4.6 days,< 0.581,
393,Gas Giant,2016,0.672 Jupiters,1.194 x Jupiter,0.04131 AU,3.2 days,< 0.202,
394,Gas Giant,2016,0.653 Jupiters,1.251 x Jupiter,0.05475 AU,4.6 days,< 0.158,
395,Gas Giant,2013,1.345 Jupiters,1.168 x Jupiter,0.023 AU,1.4 days,0.0,
396,Gas Giant,2016,0.706 Jupiters,1.175 x Jupiter,0.04354 AU,3.2 days,< 0.096,
397,Gas Giant,2016,0.88 Jupiters,1.64 x Jupiter,0.0478 AU,3.4 days,< 0.233,
398,Gas Giant,2016,0.92 Jupiters,1.249 x Jupiter,0.04024 AU,2.8 days,< 0.471,
399,Gas Giant,2016,1.192 Jupiters,1.23 x Jupiter,0.03727 AU,2.5 days,< 0.08,
400,Gas Giant,2016,0.941 Jupiters,1.43 x Jupiter,0.03166 AU,2.1 days,< 0.108,
401,Gas Giant,2016,1.222 Jupiters,1.464 x Jupiter,0.03199 AU,1.8 days,< 0.306,
402,Gas Giant,2018,3.216 Jupiters,1.153 x Jupiter,0.0523 AU,4.2 days,0.11,
403,Neptune-like,2020,31.46517 Earths,0.606 x Jupiter,0.04913 AU,4.3 days,0.0,
404,Neptune-like,2020,23.51942 Earths,0.614 x Jupiter,0.05036 AU,4.4 days,0.0,
405,Gas Giant,2018,0.63 Jupiters,1.57 x Jupiter,0.06007 AU,4.6 days,< 0.275,
406,Gas Giant,2013,1.071 Jupiters,1.381 x Jupiter,0.0485 AU,3.5 days,0.0,
407,Gas Giant,2018,1.59 Jupiters,1.58 x Jupiter,0.04997 AU,3.3 days,< 0.312,
408,Gas Giant,2018,9.7 Jupiters,1.33 x Jupiter,0.0583 AU,4.2 days,0.38,
409,Gas Giant,2018,1.88 Jupiters,1.4 x Jupiter,0.03689 AU,2.3 days,< 0.229,
410,Gas Giant,2018,0.261 Jupiters,1.18 x Jupiter,0.04944 AU,4.4 days,0.17,
411,Gas Giant,2018,0.56 Jupiters,1.067 x Jupiter,0.03649 AU,2.7 days,< 0.279,
412,Gas Giant,2018,0.7 Jupiters,1.286 x Jupiter,0.05511 AU,4.2 days,< 0.24,
413,Gas Giant,2018,0.173 Jupiters,0.903 x Jupiter,0.05367 AU,4.7 days,< 0.559,
414,Gas Giant,2020,0.369 Jupiters,1.117 x Jupiter,0.04269 AU,3.9 days,< 0.088,
415,Gas Giant,2020,0.243 Jupiters,0.8 x Jupiter,0.03769 AU,3.1 days,< 0.162,
416,Gas Giant,2020,0.353 Jupiters,0.765 x Jupiter,0.04515 AU,4.1 days,< 0.071,
417,Gas Giant,2014,1.323 Jupiters,1.02 x Jupiter,0.0362 AU,2.5 days,0.01,
418,Gas Giant,2017,0.39 Jupiters,1.13 x Jupiter,0.05046 AU,3.8 days,< 0.516,
419,Gas Giant,2017,0.768 Jupiters,1.41 x Jupiter,0.04639 AU,3.3 days,< 0.33,
420,Gas Giant,2017,2.24 Jupiters,1.382 x Jupiter,0.02498 AU,1.4 days,< 0.246,
421,Gas Giant,2017,0.595 Jupiters,1.34 x Jupiter,0.04753 AU,3.9 days,< 0.33,
422,Gas Giant,2019,0.76 Jupiters,1.067 x Jupiter,0.03763 AU,2.5 days,< 0.126,
423,Gas Giant,2019,0.921 Jupiters,1.251 x Jupiter,0.05412 AU,4.2 days,< 0.092,
424,Gas Giant,2019,0.602 Jupiters,1.688 x Jupiter,0.06043 AU,4.3 days,< 0.019,
425,Gas Giant,2019,3.147 Jupiters,1.139 x Jupiter,0.03493 AU,2.4 days,< 0.028,
426,Gas Giant,2019,1.03 Jupiters,1.095 x Jupiter,0.05798 AU,4.2 days,< 0.168,
427,Gas Giant,2018,0.806 Jupiters,1.126 x Jupiter,0.06112 AU,5.4 days,0.13,
428,Gas Giant,2018,12.7 Jupiters,1.1 x Jupiter,2.504 AU,3.9 years,< 0.083,
429,Gas Giant,2014,0.237 Jupiters,0.912 x Jupiter,0.0542 AU,4.8 days,0.02,
430,Gas Giant,2018,0.662 Jupiters,1.153 x Jupiter,0.04708 AU,3.6 days,0.19,
431,Gas Giant,2018,3.4 Jupiters,1.195 x Jupiter,0.07908 AU,7.8 days,0.09,
432,Gas Giant,2018,0.179 Jupiters,1.055 x Jupiter,0.04163 AU,3.3 days,0.3,
433,Gas Giant,2018,0.96 Jupiters,1.207 x Jupiter,0.04026 AU,3.1 days,0.14,
434,Gas Giant,2018,0.96 Jupiters,1.679 x Jupiter,0.06562 AU,4.9 days,0.15,
435,Gas Giant,2018,0.821 Jupiters,1.501 x Jupiter,0.04497 AU,3.1 days,0.06,
436,Gas Giant,2018,5.33 Jupiters,1.411 x Jupiter,0.04714 AU,3.1 days,0.06,
437,Gas Giant,2018,1.45 Jupiters,1.685 x Jupiter,0.03032 AU,1.6 days,0.06,
438,Gas Giant,2018,1.29 Jupiters,1.232 x Jupiter,0.05071 AU,3.6 days,0.04,
439,Gas Giant,2018,0.577 Jupiters,0.945 x Jupiter,0.03211 AU,2.2 days,0.52,
440,Gas Giant,2015,0.319 Jupiters,0.998 x Jupiter,0.03623 AU,3.3 days,0.0,
441,Gas Giant,2019,12.9 Jupiters,1.384 x Jupiter,0.03632 AU,1.9 days,< 0.18,
442,Gas Giant,2020,0.37 Jupiters,1.024 x Jupiter,0.03745 AU,3.8 days,0.0,
443,Gas Giant,2020,39.85588 Earths,0.722 x Jupiter,0.066517 AU,7.3 days,< 0.013,
444,Gas Giant,2021,1.46 Jupiters,1.032 x Jupiter,0.02384 AU,1.7 days,< 0.044,
445,Gas Giant,2021,0.491 Jupiters,0.884 x Jupiter,0.032742 AU,2.8 days,< 0.064,
446,Gas Giant,2021,2.629 Jupiters,1.079 x Jupiter,0.02658 AU,1.9 days,< 0.062,
447,Gas Giant,2021,1.374 Jupiters,1.165 x Jupiter,0.03607 AU,3.1 days,< 0.045,
448,Gas Giant,2015,38.1396 Earths,0.563 x Jupiter,0.04012 AU,3.2 days,< 0.17,
449,Gas Giant,2015,0.138 Jupiters,0.873 x Jupiter,0.04667 AU,3.6 days,< 0.376,
450,Gas Giant,2015,0.837 Jupiters,1.236 x Jupiter,0.0312 AU,1.9 days,< 0.075,
451,Gas Giant,2014,752 Jupiters,6.9 x Jupiter,53.0 AU,249.2 years,0.0,
452,Gas Giant,2011,1.61 Jupiters,1.21 x Jupiter,0.68 AU,157.6 days,0.09,
453,Gas Giant,2007,1.03 Jupiters,1.23 x Jupiter,1.03 AU,383.7 days,0.36,
454,Neptune-like,2010,13.1 Earths,0.328 x Jupiter,0.06412 AU,5.8 days,0.07,
455,Neptune-like,2010,11.75 Earths,0.308 x Jupiter,0.12859 AU,16.4 days,0.13,
456,Neptune-like,2010,25.1 Earths,0.481 x Jupiter,0.2699 AU,49.7 days,0.05,
457,Neptune-like,2010,23.9 Earths,0.468 x Jupiter,0.4929 AU,122.7 days,0.12,
458,Neptune-like,2010,21.4 Earths,0.438 x Jupiter,1.427 AU,1.7 years,0.26,
459,Gas Giant,2010,0.203 Jupiters,0.838 x Jupiter,3.381 AU,6 years,0.1,
460,Gas Giant,2005,0.25 Jupiters,0.949 x Jupiter,0.3 AU,70.5 days,0.11,
461,Gas Giant,2005,0.17 Jupiters,0.756 x Jupiter,0.15 AU,20.8 days,0.12,
462,Gas Giant,2006,0.41 Jupiters,1.27 x Jupiter,0.05 AU,4.1 days,0.0,
463,Gas Giant,2008,4.94 Jupiters,1.15 x Jupiter,0.51 AU,127.6 days,0.05,
464,Gas Giant,2011,8.16 Jupiters,1.12 x Jupiter,1.81 AU,2.1 years,0.21,
465,Gas Giant,2018,1.52 Jupiters,1.21 x Jupiter,Unknown,3.1 years,0.21,
466,Neptune-like,2010,16 Earths,0.369 x Jupiter,0.46 AU,122.1 days,0.34,
467,Gas Giant,2019,0.35837 Jupiters,1.17 x Jupiter,4.074 AU,8.5 years,0.11,
468,Gas Giant,2010,0.96 Jupiters,1.23 x Jupiter,0.0807 AU,6.5 days,0.04,
469,Neptune-like,2009,28.6047 Earths,0.52 x Jupiter,0.25 AU,47.8 days,0.0,
470,Gas Giant,2014,0.62 Jupiters,1.26 x Jupiter,0.0498 AU,4.6 days,0.09,
471,Gas Giant,2013,0.367 Jupiters,1.19 x Jupiter,0.07 AU,5.9 days,0.09,
472,Neptune-like,2019,11.2 Earths,0.299 x Jupiter,0.439 AU,120.9 days,0.19,
473,Gas Giant,2009,0.16 Jupiters,0.729 x Jupiter,0.26 AU,55.8 days,0.0,
474,Gas Giant,2014,1.487 Jupiters,1.21 x Jupiter,2.01 AU,2.8 years,0.13,
475,Gas Giant,2003,8.3 Jupiters,1.12 x Jupiter,0.95 AU,199.5 days,0.09,
476,Gas Giant,2002,6.93 Jupiters,1.13 x Jupiter,2.61 AU,4.2 years,0.48,
477,Gas Giant,2011,10.13 Jupiters,1.11 x Jupiter,3.34 AU,5.2 years,0.19,
478,Super Earth,2017,12.6 Earths,0.218 x Jupiter,0.0907 AU,9.6 days,0.09,
479,Neptune-like,2017,15.2 Earths,0.388 x Jupiter,0.1536 AU,21.1 days,0.22,
480,Gas Giant,2006,0.94 Jupiters,1.23 x Jupiter,2.015 AU,2.7 years,0.15,
481,Gas Giant,2012,9.61 Jupiters,1.11 x Jupiter,4.59 AU,9.9 years,0.57,
482,Gas Giant,2013,11 Jupiters,1.11 x Jupiter,650.0 AU,13538.6 years,0.0,
483,Gas Giant,1999,6.383 Jupiters,1.13 x Jupiter,2.14 AU,2.9 years,0.1,
484,Gas Giant,2005,0.21 Jupiters,0.856 x Jupiter,0.269 AU,48.1 days,0.05,
485,Neptune-like,2021,19.89606 Earths,0.42 x Jupiter,0.1407 AU,18.3 days,0.34,
486,Gas Giant,2002,0.261 Jupiters,0.973 x Jupiter,0.102 AU,10.9 days,0.53,
487,Super Earth,2020,3.24 Earths,1.615 x Earth,0.04527 AU,3.8 days,0.05,
488,Super Earth,2020,4.94 Earths,2.071 x Earth,0.062 AU,6.2 days,0.03,
489,Neptune-like,2020,6.98 Earths,0.227 x Jupiter,0.1074 AU,14.2 days,0.06,
490,Neptune-like,2020,9.71 Earths,0.275 x Jupiter,0.1367 AU,19.6 days,0.06,
491,Super Earth,2021,4.72 Earths,2.017 x Earth,0.1758 AU,29.5 days,0.05,
492,Gas Giant,2014,3.5 Jupiters,1.17 x Jupiter,2.0 AU,3.1 years,0.85,
493,Gas Giant,2011,2.414 Jupiters,1.18 x Jupiter,1.32 AU,437.7 days,0.03,
494,Gas Giant,2002,1.42 Jupiters,1.21 x Jupiter,1.04 AU,394.5 days,0.13,
495,Gas Giant,2005,0.99 Jupiters,1.23 x Jupiter,2.659 AU,4.4 years,0.24,
496,Gas Giant,2010,0.86 Jupiters,1.24 x Jupiter,0.33 AU,68.3 days,0.12,
497,Neptune-like,2013,17.162 Earths,0.385 x Jupiter,0.079 AU,7.9 days,0.25,
498,Neptune-like,2013,24.154 Earths,0.47 x Jupiter,0.196 AU,30.9 days,0.15,
499,Gas Giant,2021,2.99 Jupiters,1.17 x Jupiter,1.259 AU,1.4 years,0.34,
500,Gas Giant,2005,0.27 Jupiters,0.993 x Jupiter,0.0615 AU,5.2 days,0.0,
501,Gas Giant,2021,0.45 Jupiters,1.28 x Jupiter,0.95 AU,283.8 days,0.44,
502,Gas Giant,2009,11.09 Jupiters,1.11 x Jupiter,2.14 AU,2.3 years,0.46,
503,Neptune-like,2021,10.3 Earths,0.285 x Jupiter,0.113 AU,10.2 days,0.2,
504,Neptune-like,2021,4.55 Earths,2.05 x Earth,0.035 AU,2.5 days,0.09,
505,Neptune-like,2021,10.5 Earths,0.288 x Jupiter,0.068 AU,6.7 days,0.05,
506,Gas Giant,2003,7.14 Jupiters,1.13 x Jupiter,1.97 AU,3.1 years,0.2,
507,Gas Giant,2017,4.4 Jupiters,1.15 x Jupiter,2.5 AU,2.9 years,0.26,
508,Gas Giant,2016,4.51 Jupiters,1.15 x Jupiter,1.82 AU,2.3 years,0.03,
509,Gas Giant,2020,5 Jupiters,1.15 x Jupiter,1.7 AU,1.7 years,0.24,
510,Gas Giant,2013,2.83 Jupiters,1.18 x Jupiter,0.92 AU,324 days,0.46,
511,Gas Giant,2010,0.36 Jupiters,1.18 x Jupiter,1.24 AU,1.8 years,0.14,
512,Gas Giant,2010,0.93 Jupiters,1.24 x Jupiter,2.44 AU,5 years,0.2,
513,Gas Giant,2017,6.3 Jupiters,1.14 x Jupiter,1.6 AU,1.7 years,0.28,
514,Gas Giant,2003,1.14 Jupiters,1.22 x Jupiter,1.73 AU,2.6 years,0.23,
515,Gas Giant,2014,0.357 Jupiters,1.17 x Jupiter,5.34 AU,11 years,0.46,
516,Gas Giant,2002,0.825 Jupiters,1.24 x Jupiter,2.067 AU,3.1 years,0.08,
517,Gas Giant,1989,10.69 Jupiters,1.11 x Jupiter,0.36 AU,83.9 days,0.34,
518,Gas Giant,2001,1.1 Jupiters,1.23 x Jupiter,1.16 AU,493.7 days,0.14,
519,Gas Giant,2018,0.611 Jupiters,1.26 x Jupiter,4.97 AU,11.8 years,0.0,
520,Gas Giant,2007,4.83 Jupiters,1.15 x Jupiter,2.9 AU,4.4 years,0.37,
521,Gas Giant,2008,0.408 Jupiters,1.27 x Jupiter,0.774 AU,223.4 days,0.19,
522,Gas Giant,2021,8.29 Jupiters,1.12 x Jupiter,5.0 AU,10.1 years,0.49,
523,Gas Giant,2011,1.4 Jupiters,1.21 x Jupiter,1.65 AU,1.8 years,0.0,
524,Gas Giant,2018,1.27 Jupiters,1.22 x Jupiter,Unknown,2.5 years,0.04,
525,Gas Giant,2004,1.926 Jupiters,1.2 x Jupiter,3.787 AU,7.2 years,0.16,
526,Gas Giant,2015,5.63 Jupiters,1.14 x Jupiter,1.09 AU,433.7 days,0.19,
527,Gas Giant,2004,0.174 Jupiters,0.766 x Jupiter,0.18 AU,25.8 days,0.15,
528,Gas Giant,2005,2.79 Jupiters,1.18 x Jupiter,0.07 AU,6.1 days,0.31,
529,Gas Giant,2005,0.622 Jupiters,1.26 x Jupiter,3.16 AU,5.3 years,0.04,
530,Neptune-like,2008,25 Earths,0.48 x Jupiter,0.229 AU,37.9 days,0.3,
531,Gas Giant,2005,6.54 Jupiters,1.13 x Jupiter,1.93 AU,1.9 years,0.4,
532,Gas Giant,2013,4.5 Jupiters,1.15 x Jupiter,4.3 AU,5.7 years,0.66,
533,Gas Giant,2003,1.51 Jupiters,1.21 x Jupiter,0.33 AU,63.3 days,0.03,
534,Gas Giant,2021,0.75 Jupiters,1.25 x Jupiter,0.86 AU,270.7 days,0.34,
535,Gas Giant,2016,2.98 Jupiters,1.17 x Jupiter,0.297 AU,58.8 days,0.07,
536,Gas Giant,2019,22.16 Jupiters,1.07 x Jupiter,3.16 AU,4.8 years,0.59,
537,Neptune-like,2009,6.3566 Earths,0.214 x Jupiter,0.08 AU,9.7 days,0.0,
538,Gas Giant,2007,3.1 Jupiters,1.17 x Jupiter,1.372 AU,1.5 years,0.46,
539,Neptune-like,2009,17.48065 Earths,0.389 x Jupiter,0.0524 AU,4.2 days,0.05,
540,Gas Giant,2009,7.28 Jupiters,1.13 x Jupiter,4.06 AU,7.8 years,0.12,
541,Gas Giant,2015,1.96 Jupiters,1.2 x Jupiter,0.54 AU,133.6 days,0.04,
542,Gas Giant,2018,0.237 Jupiters,0.919 x Jupiter,1.837 AU,2.6 years,0.04,
543,Gas Giant,2009,0.41 Jupiters,1.27 x Jupiter,2.37 AU,3.4 years,0.41,
544,Gas Giant,2000,2.43 Jupiters,1.18 x Jupiter,0.84 AU,262.7 days,0.38,
545,Gas Giant,2002,1.812 Jupiters,1.2 x Jupiter,2.8145 AU,4.7 years,0.03,
546,Gas Giant,2002,1.769 Jupiters,1.2 x Jupiter,1.084 AU,453 days,0.3,
547,Gas Giant,2005,3.789 Jupiters,1.16 x Jupiter,1.74 AU,2.5 years,0.16,
548,Gas Giant,2016,0.89 Jupiters,1.24 x Jupiter,0.87 AU,298.2 days,0.57,
549,Gas Giant,2009,1.6 Jupiters,1.21 x Jupiter,2.9 AU,5 years,0.7,
550,Gas Giant,1999,1.15 Jupiters,1.22 x Jupiter,0.0925 AU,10.7 days,0.03,
551,Gas Giant,2011,1.8 Jupiters,1.2 x Jupiter,2.01 AU,2.5 years,0.18,
